Components,Quantity,Total Price,Buy Link
"Arduino Uno Type-B",1,2.80,"https://makerbazar.in/products/uno-r3-board-smd-compatible-with-arduino?variant=48251067302128"
"Arduino Motor Driver Shield L293D",1,1.34,"https://makerbazar.in/products/arduino-motor-drive-shield-l293d?variant=18889850912864"
"IR Infrared Obstacle Avoider Sensor Module",4,1.33,"https://makerbazar.in/products/ir-obstacle-avoider-sensor?variant=19619125985376"
"2-Pin Mini Rocker Switch",2,0.17,"https://makerbazar.in/products/2-pin-mini-rocker-switch?variant=46452156432624"
"Gluesticks",1,1.20,"https://makerbazar.in/products/glue-gun-sticks?variant=47353035194608"
"MDF Board Sheet",2,0.44,"https://makerbazar.in/products/pine-mdf-board-sheet-1x1-ft?variant=46666582556912"
"BO Motor-Straight",4,3.00,"https://robu.in/product/300-rpm-bo-motor-straight/"
"1.8 Inch TFT LCD Module",1,3.11,"https://robu.in/product/62060/"
"Foam tape",2,0.73,"https://makerbazar.in/products/oddy-double-side-mounting-foam-tape?variant=48251178746096"
"Tyre Wheel for BO Motors",4,1.29,"https://makerbazar.in/products/small-wheel-for-bo-motor?variant=48251215511792"
"HC-05 6-Pins",1,2.22,"https://makerbazar.in/products/hc-series-bluetooth-module-wireless-rs232-ttl-to-uart-for-arduino?variant=48251017134320"
"Arduino USB Cable",1,0.33,"https://makerbazar.in/products/arduino-usb-cable-a-to-b-blue-black-40inch-100cm?variant=48251152072944"
"ATmega328P nano",1,2.11,"https://robu.in/product/atmega328p-5v-nano-v3-0-development-board-16mhz-ch340-type-c/"
"3.6V Lithium-Ion 18650 Rechargeable Cells",4,6.90,"https://makerbazar.in/products/lithium-ion-18650-rechargeable-cell-3-7v-3c?variant=48251183268080"
"Flat Ribbon Cable",1,0.71,"https://robu.in/product/multicolor-flat-ribbon-cable-10-cond-1meter/"
"AMS1117 5V Step-Down Power Supply Module",2,0.34,"https://robu.in/product/ams1117-5v-step-power-supply-module/"
"Pitch male Berg Strip",1,0.28,"https://robu.in/product/2mm-pitch-male-berg-strip-40x1-2pcs/"
"Jumper Wires",1,1.22,"https://robu.in/product/female-female-dupont-line-40-pin-30cm/, https://robu.in/product/male-to-female-jumper-wires-40-pin-30cm/"
"2x 18650 Cell Box",1,0.22,"https://robu.in/product/2-x-18650-cell-box-without-cover/#tab-specification"
"2x 18650 Cell Box with Power Plug",1,0.50,"https://robu.in/product/2-x-18650-black-battery-holder-with-dc-power-plug/#tab-specification"
